,RR,NE,MT,MP,MG,MC
771,245751.569,208107.81300000002,242929.098,237540.0,221493.751,215126.33599999998
772,247493.93600000002,207842.069,243039.796,251313.375,220987.178,212519.499
773,244147.613,205995.89,244252.60199999998,217276.152,221309.521,214269.75300000003
774,241394.67,211321.05299999999,241051.79699999996,229848.188,220930.491,208884.203
775,242406.652,211120.769,241817.707,237540.0,216971.58,211700.19599999997
776,242593.05899999998,211367.585,239572.08299999998,232468.006,217433.71600000001,213135.576
777,243196.521,211394.615,241841.777,207780.0,217439.72100000002,212120.689
778,241263.662,212252.636,243651.86200000002,237540.0,217377.99099999998,211204.52199999997
779,243458.49699999997,211168.45,241478.474,241436.198,217514.663,213102.403
780,243582.72799999997,212335.327,245869.20699999997,238658.779,217706.81900000002,212391.697
781,244583.56199999998,212803.583,242897.777,210958.515,217617.94700000001,212989.61700000003
782,244420.6,212753.136,242601.195,237540.0,214292.78399999999,214011.316
783,244897.46999999997,212789.815,243677.08299999998,238337.892,205244.999,214630.742
784,246303.37700000004,213765.92799999999,245001.557,253425.75,206156.91999999998,215652.80299999996
785,245763.77200000003,212747.48,244352.857,184327.801,206219.327,215364.217
786,258210.927,217358.56600000002,260079.811,181319.669,208818.648,219618.214
787,257930.05700000003,218507.02800000002,259761.262,220483.5,206877.64500000002,218693.11599999998
788,259249.70999999996,217546.015,260205.53499999997,248628.563,207927.599,218588.186
789,257436.49699999997,217140.907,259042.713,258204.647,209153.528,218446.511
790,259543.785,217542.227,260854.823,233630.521,207808.184,220762.896
791,259062.538,216972.67,259643.86699999997,238083.696,208639.35199999998,218825.799
792,264382.337,217818.45200000002,267600.0,254547.375,210845.218,221809.04499999998
793,263621.27,218303.79,267600.0,209441.197,216485.465,222255.87099999998
794,264974.43799999997,218414.75799999997,267600.0,195089.625,217449.74200000003,221428.17500000002
795,264728.225,217349.385,267600.0,231039.698,215539.90600000002,222115.505
796,264363.289,218996.417,267600.0,257339.874,216190.43099999998,222406.955
